"time","symbol","open","high","low","close","volume"
"2011-05-20 00:00:00+00","ZS.c.0","1378.25","1396","1365","1378.75",74879
"2011-05-22 00:00:00+00","ZS.c.0","1386","1390","1382.25","1389.5",2005
"2011-05-23 00:00:00+00","ZS.c.0","1389.75","1393","1366","1373",64687
"2011-05-24 00:00:00+00","ZS.c.0","1373.25","1389","1365.75","1376.75",68293
"2011-05-25 00:00:00+00","ZS.c.0","1377","1389.75","1372.5","1380.25",55203
"2011-05-26 00:00:00+00","ZS.c.0","1380.25","1398.25","1380","1390.75",78886
"2011-05-27 00:00:00+00","ZS.c.0","1390.5","1394.25","1376.25","1380.5",53202
"2011-05-30 00:00:00+00","ZS.c.0","1371.5","1379.25","1366.5","1378.25",2451
"2011-05-31 00:00:00+00","ZS.c.0","1378.75","1391.25","1373.5","1383.75",70418
"2011-06-01 00:00:00+00","ZS.c.0","1384","1390","1370","1385",69252
"2011-06-02 00:00:00+00","ZS.c.0","1385","1411.5","1385","1405.5",94462
"2011-06-03 00:00:00+00","ZS.c.0","1405.5","1419.5","1404.5","1412",66998
"2011-06-05 00:00:00+00","ZS.c.0","1415.75","1416.75","1412.5","1414",657
"2011-06-06 00:00:00+00","ZS.c.0","1414","1418.25","1380.25","1384.25",83602
"2011-06-07 00:00:00+00","ZS.c.0","1384.5","1398.75","1378.5","1397.75",82036
"2011-06-08 00:00:00+00","ZS.c.0","1398","1417","1385","1404",95038
"2011-06-09 00:00:00+00","ZS.c.0","1403.75","1413.25","1386.25","1397",92697
"2011-06-10 00:00:00+00","ZS.c.0","1397","1397.5","1377.25","1383",76658
"2011-06-12 00:00:00+00","ZS.c.0","1385.25","1388","1384.5","1385",964
"2011-06-13 00:00:00+00","ZS.c.0","1385.25","1390.5","1378.5","1381.75",61692
"2011-06-14 00:00:00+00","ZS.c.0","1381.75","1387","1353.5","1369",88868
"2011-06-15 00:00:00+00","ZS.c.0","1369","1375.5","1354.5","1371",82759
"2011-06-16 00:00:00+00","ZS.c.0","1371","1371","1348.25","1351",68979
"2011-06-17 00:00:00+00","ZS.c.0","1351","1357.25","1330.5","1331.25",72754
"2011-06-19 00:00:00+00","ZS.c.0","1334.75","1338","1331.75","1333.25",1172
"2011-06-20 00:00:00+00","ZS.c.0","1333.25","1346","1331.75","1339.75",46052
"2011-06-21 00:00:00+00","ZS.c.0","1339.5","1354.75","1338.75","1350.75",39761
"2011-06-22 00:00:00+00","ZS.c.0","1351","1351.75","1320.5","1329.5",63122
"2011-06-23 00:00:00+00","ZS.c.0","1329","1333.25","1292.75","1319",56825
"2011-06-24 00:00:00+00","ZS.c.0","1319.25","1328.75","1311.5","1319.25",47112
"2011-06-26 00:00:00+00","ZS.c.0","1318.25","1318.75","1313.75","1315.5",590
"2011-06-27 00:00:00+00","ZS.c.0","1315.75","1336.75","1310","1333.25",46983
"2011-06-28 00:00:00+00","ZS.c.0","1333.25","1346.25","1328","1339",35987
"2011-06-29 00:00:00+00","ZS.c.0","1340","1350","1326","1334.25",29108
"2011-06-30 00:00:00+00","ZS.c.0","1334.25","1342.5","1290","1310.5",9415
"2011-07-01 00:00:00+00","ZS.c.0","1313","1330","1307.25","1323.5",6206
"2011-07-04 00:00:00+00","ZS.c.0","1330.5","1330.5","1328","1329",78
"2011-07-05 00:00:00+00","ZS.c.0","1331","1340","1322","1330.75",2421
"2011-07-06 00:00:00+00","ZS.c.0","1330.75","1336.75","1321","1331.25",3920
"2011-07-07 00:00:00+00","ZS.c.0","1334.5","1350","1333.5","1346",3096
"2011-07-08 00:00:00+00","ZS.c.0","1345","1355.25","1341","1352.25",1049
"2011-07-10 00:00:00+00","ZS.c.0","1356.25","1359.75","1356.25","1359.75",55
"2011-07-11 00:00:00+00","ZS.c.0","1354","1358.25","1343.25","1350",1215
"2011-07-12 00:00:00+00","ZS.c.0","1351","1367.75","1341.5","1361",1791
"2011-07-13 00:00:00+00","ZS.c.0","1363.75","1392.75","1363.75","1387",408
"2011-07-14 00:00:00+00","ZS.c.0","1388.25","1397.25","1388.25","1390.25",239
